osm_uid,osm_type,osm_id,category,name,brand,brand:wikidata,addr:street,addr:district,opening_hours,website,phone,operator,cuisine,wikidata,lat,lon,_raw_tags
node/1000505861,node,1000505861,bakeries,مخبز زهرة لبنان,,,,,,,,,,,24.4754517,54.3772426,"{""name"": ""مخبز زهرة لبنان"", ""name:en"": ""Lebanese Flower Bakery"", ""shop"": ""bakery""}"
node/1000505863,node,1000505863,restaurants,مطعم زهرة لبنان,,,,,,,,,lebanese grill,,24.4756132,54.3774909,"{""amenity"": ""restaurant"", ""cuisine"": ""lebanese grill"", ""name"": ""مطعم زهرة لبنان"", ""name:ar"": ""مطعم زهرة لبنان"", ""name:en"": ""Lebanese Flower Restaurant""}"
node/10008182578,node,10008182578,coffee_shops,Alkalime,,,,,Su-Th 08:00-22:00; Fr-Sa 09:00-22:00,http://www.wearealkalime.com/,+971544491547,,organic,,24.5390372,54.4090196,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22600"", ""amenity"": ""cafe"", ""cuisine"": ""organic"", ""email"": ""hello@wearealkalime.com"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""internet_access:ssid"": ""Alkalime Guest"", ""name"": ""Alkalime"", ""opening_hours"": ""Su-Th 08:00-22:00; Fr-Sa 09:00-22:00"", ""outdoor_seating"": ""yes"", ""phone"": ""+971544491547"", ""website"": ""http://www.wearealkalime.com/""}"
node/10008200718,node,10008200718,coffee_shops,Wake N Bake,,,,,,,,,donut,,24.5389509,54.4093912,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22600"", ""amenity"": ""cafe"", ""cuisine"": ""donut"", ""name"": ""Wake N Bake""}"
node/10008200719,node,10008200719,restaurants,Mastani,,,,,,,,,indian,,24.5390666,54.4094817,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22600"", ""amenity"": ""restaurant"", ""cuisine"": ""indian"", ""name"": ""Mastani""}"
node/10008200720,node,10008200720,coffee_shops,Local,,,,,08:00-23:00,https://localco.ae/,,,coffee_shop,,24.5390715,54.4097054,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22600"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""Local"", ""opening_hours"": ""08:00-23:00"", ""website"": ""https://localco.ae/""}"
node/10009134830,node,10009134830,coffee_shops,Society,,,,,,https://www.societyuae.com/,+97128867735,,coffee_shop,,24.5390008,54.4067178,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22600"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""email"": ""manager.ad@societyuae.com"", ""name"": ""Society"", ""outdoor_seating"": ""yes"", ""phone"": ""+97128867735"", ""website"": ""https://www.societyuae.com/""}"
node/10009134831,node,10009134831,coffee_shops,Cafe Artea,,,,,,,,,,,24.5387006,54.4069092,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22600"", ""amenity"": ""cafe"", ""name"": ""Cafe Artea""}"
node/10009134832,node,10009134832,restaurants,Antonia,,,,,12:00-23:00,https://www.antoniarestaurant.com/,+97126672554,,italian,,24.5389598,54.4071905,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22600"", ""amenity"": ""restaurant"", ""cuisine"": ""italian"", ""email"": ""info@mysite.com"", ""name"": ""Antonia"", ""opening_hours"": ""12:00-23:00"", ""phone"": ""+97126672554"", ""website"": ""https://www.antoniarestaurant.com/""}"
node/10009134833,node,10009134833,coffee_shops,Coffee Architecture,,,,,,https://www.thecoffeearchitecture.com/,,,coffee_shop,,24.5389591,54.4073335,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22600"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""email"": ""contact@thecoffeearchitecture.com"", ""name"": ""Coffee Architecture"", ""website"": ""https://www.thecoffeearchitecture.com/""}"
node/10009134836,node,10009134836,restaurants,Black Tap,,,,,,,,,,,24.5390196,54.4100846,"{""amenity"": ""restaurant"", ""name"": ""Black Tap""}"
node/10009134837,node,10009134837,restaurants,Beirut sur Mer,,,,,,,,,,,24.5390253,54.4104515,"{""amenity"": ""restaurant"", ""name"": ""Beirut sur Mer""}"
node/10009134838,node,10009134838,coffee_shops,ETHR,,,,,,,,,,,24.5390659,54.4109076,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22600"", ""amenity"": ""cafe"", ""name"": ""ETHR""}"
node/10009134839,node,10009134839,restaurants,Raclette,,,,,,,,,french,,24.5390904,54.4110909,"{""amenity"": ""restaurant"", ""cuisine"": ""french"", ""name"": ""Raclette""}"
node/10009134840,node,10009134840,restaurants,Ting Irie,,,,,,,,,jamaican,,24.5390772,54.4113696,"{""amenity"": ""restaurant"", ""cuisine"": ""jamaican"", ""name"": ""Ting Irie""}"
node/10009134841,node,10009134841,fast_food,Feels,,,,,,,,,juice,,24.5391015,54.4115143,"{""amenity"": ""fast_food"", ""cuisine"": ""juice"", ""name"": ""Feels""}"
node/10009153319,node,10009153319,supermarkets,Carrefour,Carrefour,Q217599,,,,,,Carrefour,,,24.5384935,54.4119555,"{""brand"": ""Carrefour"", ""brand:wikidata"": ""Q217599"", ""name"": ""Carrefour"", ""operator"": ""Carrefour"", ""shop"": ""supermarket""}"
node/10012770918,node,10012770918,fast_food,Coco Loco,,,,,,,,,juice,,24.5245213,54.434054,"{""addr:city"": ""أبو ظبي"", ""addr:city:ar"": ""أبو ظبي"", ""addr:city:en"": ""Abu Dhabi"", ""addr:city:ur"": ""ابوظہبی"", ""addr:postcode"": ""22602"", ""amenity"": ""fast_food"", ""cuisine"": ""juice"", ""name"": ""Coco Loco"", ""takeaway"": ""yes""}"
node/10012770919,node,10012770919,restaurants,Asiatic & Co,,,,,,,,,asian,,24.5245503,54.4340617,"{""amenity"": ""restaurant"", ""cuisine"": ""asian"", ""name"": ""Asiatic & Co""}"
